skill,category,video_title,video_link,description
Python,Programming,Python for Beginners - Full Course,https://youtu.be/rfscVS0vtbw,Complete Python tutorial for beginners
Machine Learning,AI/ML,Introduction to Machine Learning,https://youtu.be/KNAWp2S3w94,Basics of machine learning concepts
Data Structures,Programming,Data Structures and Algorithms,https://youtu.be/RBSGKlAvoiM,Essential data structures tutorial
Web Development,Development,Web Development Full Course,https://youtu.be/pQN-pnXPaVg,Complete web development guide
Cloud Computing,DevOps,AWS Cloud Practitioner,https://youtu.be/SOTamUVgBYQ,Cloud computing fundamentals
Cybersecurity,Security,Cybersecurity for Beginners,https://youtu.be/inWWhr5tnEA,Introduction to cybersecurity
Database Management,Database,SQL Tutorial for Beginners,https://youtu.be/HXV3zeQKqGY,SQL database management
Mobile Development,Development,Android Development Course,https://youtu.be/fis26HvvDII,Mobile app development
UI/UX Design,Design,UI/UX Design Tutorial,https://youtu.be/c9Wg9CpHmLo,User interface design principles
DevOps,DevOps,DevOps Engineering,https://youtu.be/j5Zsa_eOXeY,DevOps practices and tools
Big Data,Data,Big Data Tutorial,https://youtu.be/1vbXmCrkT3Y,Big data concepts and tools
Blockchain,Technology,Blockchain Fundamentals,https://youtu.be/qOVAbKKSH10,Blockchain technology basics
Artificial Intelligence,AI/ML,AI for Everyone,https://youtu.be/JMUxmLyrhSk,AI concepts and applications
Data Science,Data,Data Science Tutorial,https://youtu.be/ua-CiDNNj30,Data science fundamentals
Network Security,Security,Network Security Basics,https://youtu.be/dlPIclX1nSU,Network security principles
Software Testing,Testing,Software Testing Tutorial,https://youtu.be/videoseries?list=PLsjUcU8CQXGGqjSvXxqIi0WnBQw4e8x9F,Software testing methodologies 